title,author,full_author,full_title,url_html,url_text,url_zip,url_pdf,url_other
The Karen People of Burma,Harry Ignatius Marshall,,,http://gutenberg.net.au/ebooks08/0800061h.html,,,,
Burma and the Karens,San C Po,,,http://gutenberg.net.au/ebooks08/0800051h.html,,,,
Civilizing Mountain Men,Mrs Mason,,Civilizing Mountain Men: Sketches of Mission Work Among the Karens,,http://gutenberg.net.au/ebooks09/0900471.txt,,,
Because of These Things,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900461h.html,http://gutenberg.net.au/ebooks09/0900461.txt,,,
Madam Crowl's Ghost and Other Tales,J S Le Fanu,Joseph Sheridan Le Fanu,Madam Crowl's Ghost and Other Tales of Mystery,http://gutenberg.net.au/ebooks09/0900451h.html,http://gutenberg.net.au/ebooks09/0900451.txt,,,
William Cobbett,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900441h.html,http://gutenberg.net.au/ebooks09/0900441.txt,,,
Charles Dickens,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900431h.html,http://gutenberg.net.au/ebooks09/0900431.txt,,,
The Quest of Glory,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900421h.html,http://gutenberg.net.au/ebooks09/0900421.txt,,,
The Master of Stair,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900411h.html,http://gutenberg.net.au/ebooks09/0900411.txt,,,
The Return of Don Quixote,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900401h.html,http://gutenberg.net.au/ebooks09/0900401.txt,,,
Mornings in Mexico,D H Lawrence,,,http://gutenberg.net.au/ebooks09/0900391h.html,http://gutenberg.net.au/ebooks09/0900391.txt,,,
Etruscan Places,D H Lawrence,,,http://gutenberg.net.au/ebooks09/0900381h.html,http://gutenberg.net.au/ebooks09/0900381.txt,,,
Tarzan and the Twins with Jad-bal-ja,E R Burroughs,Edgar Rice Burroughs,Tarzan and the Tarzan Twins with Jad-bal-ja the Golden Lion,http://gutenberg.net.au/ebooks09/0900371h.html,,,,
My Experiences in Australia,Mrs Allan Macpherson,,,http://gutenberg.net.au/ebooks09/0900361h.html,http://gutenberg.net.au/ebooks09/0900361.txt,,,
The Singing Sands,Josephine Tey,,,http://gutenberg.net.au/ebooks09/0900351h.html,http://gutenberg.net.au/ebooks09/0900351.txt,,,
